,data_index,cluster
379,코프스 리바이버 No 1,3
380,코프스 리바이버 No 4,6
381,골든 메달리온,6
382,골든 글림,6
383,콜드 데크,1
384,코냑 오렌지,6
385,코냑 칵테일,6
386,서 월터,6
387,사이드카,6
388,서머 펀,4
389,사라토가,6
390,선더 클랩,3
391,시카고,1
392,시티 슬리커,3
393,저지 라이트닝,1
394,샹제리제,6
395,샴페인 쿨러,2
396,스위트 에덴,8
397,줌,8
398,스쿠프,3
399,스팅어,1
400,슬램 No 2,6
401,스페셜 라프,6
402,스리 밀러,3
403,슬러지 해머,6
404,슬로피 조,9
405,스완 송,6
406,다이나마이트(브랜디),6
407,더블 트러블,1
408,던힐71,8
409,찰스,7
410,초콜릿 솔저,8
411,티엔티,3
412,데이비스 브랜디,1
413,댑스 봄,6
414,토퍼,3
415,톱스 스마일,9
416,드림,3
417,나이트캡,8
418,낸시,7
419,니콜라시카,9
420,닉스 온,1
421,뉴튼스 스페셜,1
422,허큘리스,9
423,하바드,1
424,패신저 리스트,8
425,반더빌트,1
426,피터 타워,6
427,빅보이,6
428,비트윈 더 시츠,6
429,빌리 해밀턴,1
430,판타지오,3
431,피비 스노,1
432,후플라,6
433,페이버리트,6
434,페르네,1
435,포 스코어,6
436,브랜디 칵테일,1
437,브랜디 에그 노그,7
438,브랜디 건프,6
439,브랜드 크러스타,6
440,브랜드 콜린스,4
441,브랜드 샴파렐,6
442,브랜디 픽스,4
443,프린스 찰스,6
444,블 프로그,8
445,플레이메이트,6
446,프레스토,6
447,프렌치 커넥션,1
448,프루프,7
449,베티 로스,6
450,베네딕틴 칵테일,6
451,베란다,6
452,펭귄,6
453,휘프,1
454,호스 넥,4
455,버튼 훅,1
456,보니 프린스,6
457,화이 메리,6
458,봄베이,6
459,미카도,1
460,물랭 로즈,5
461,문 레이커,1
462,메트로폴리탄 No 1,3
463,메트로폴리탄 No 2,1
464,모닝,6
465,몬태나,1
466,영맨,3
467,라 홀라,6
468,리에종,1
469,릴리안,1
470,릴리퍼트,6
471,레이 롱,3
472,레이크 사이드,1
473,레이디 오브 메이,1
474,레이디 비 굿,1
475,라우드스피커,6
476,롤스 로이스,6
477,로스 로열,1
478,업 투 데이트,7
479,어드미럴,6
480,아이리시 커피,5
481,아피니티,7
482,앨곤킨,3
483,알폰소 카포네,7
484,언터처블,1
485,비발레오,3
486,위즈 뱅,3
487,위스키 온 더 록,3
488,위스키 칵테일,3
489,위스키 코블러,3
490,위스키 사워,6
491,위스키 토디,5
492,위스티 소다,7
493,위스키 맥,5
494,위스키 플로트,5
495,위스키 미스트,3
